ItemID,WorldID,LastUploadTime,AverageListingPrice,AverageListingPriceNQ,AverageListingPriceHQ,AverageSold,AverageSoldNQ,AverageSoldHQ
30896,34,0,15796.5556640625,15796.5556640625,0,891.450012207031,891.450012207031,0
30897,34,0,52346.5,52346.5,0,15497.5,15497.5,0
30898,34,0,37543.3984375,37543.3984375,0,17257.525390625,17257.525390625,0
30899,34,0,8751.400390625,8751.400390625,0,4422.5498046875,4422.5498046875,0
31090,34,0,4423.33349609375,4423.33349609375,0,2393.63159179688,2393.63159179688,0
31091,34,0,140127.671875,140127.671875,0,48617.44921875,48617.44921875,0
31092,34,0,6901.54541015625,6901.54541015625,0,4976.60009765625,4751.9443359375,6998.5
31093,34,0,3644.72729492187,1877.44445800781,35731.66796875,1316.73681640625,1316.73681640625,0
31094,34,0,20441.400390625,1193,39689.80078125,299.947357177734,299.947357177734,0
31095,34,0,4568.13623046875,713.5,10230,742.349975585938,787.055541992187,340
31096,34,0,2673.60009765625,669.428588867187,7350,182.199996948242,182.199996948242,0
31097,34,0,10874.857421875,2128.45458984375,42945,768.315795898438,747.375,880
31098,34,0,37922.125,51225.3984375,15750,4384.64990234375,4344.0556640625,4750
31099,34,0,12570.599609375,8134,52500,4354.2998046875,4288.111328125,4950
31100,34,0,44195.6015625,39494.5,63000,44283.3671875,43846.1171875,48000
31117,34,0,5599.66650390625,5599.66650390625,0,4904.2998046875,4904.2998046875,0
31118,34,0,0,0,0,5324.2998046875,5324.2998046875,0
31119,34,0,6298.66650390625,6298.66650390625,0,5071.64990234375,5071.64990234375,0
31120,34,0,4580.4287109375,4580.4287109375,0,5474.5791015625,5474.5791015625,0
31121,34,0,6299,6299,0,5208.75,5208.75,0
31122,34,0,6299,6299,0,4816.4501953125,4816.4501953125,0
31123,34,0,6299,6299,0,4468.9501953125,4468.9501953125,0
31124,34,0,4152.5,4152.5,0,4924.2998046875,4924.2998046875,0
31232,34,0,0,0,0,286.649993896484,286.649993896484,0
31233,34,0,225786.5,225786.5,0,26730.5,26730.5,0
31234,34,0,0,0,0,88.0526351928711,88.0526351928711,0
31235,34,0,0,0,0,127.947364807129,127.947364807129,0
31236,34,0,0,0,0,84.4000015258789,84.4000015258789,0
31237,34,0,0,0,0,465.850006103516,465.850006103516,0
31238,34,0,0,0,0,0,0,0
31239,34,0,0,0,0,339.899993896484,339.899993896484,0
31240,34,0,1050,1050,0,564.842102050781,564.842102050781,0
